Rank,learning_rate,batch_size,hidden_sizes,dropout,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
164,0.001,128,"[512, 256, 128]",0.1,15,adam,0.5083427282976325,0.4991231146965977,0.49237243556023147,15,1554086
165,0.0001,64,"[1024, 512, 256, 128]",0.2,20,adam,0.47737692596768133,0.4971939670291126,0.486586007364545,20,3463846
166,0.0001,128,"[256, 128]",0.2,20,adam,0.4162344983089064,0.49508944230094704,0.48904085568998773,20,730278
167,0.0001,64,"[256, 128]",0.1,15,adam,0.42671927846674185,0.4949140652402666,0.49272312817815184,15,730278
168,0.0005,128,"[1024, 512, 256, 128]",0.1,15,adam,0.5028560691469373,0.49456331111890567,0.49272312817815184,15,3463846
169,0.005,64,"[512, 256, 128]",0.1,20,sgd,0.5918451709883502,0.4935110487548229,0.4918463966333509,20,1554086
170,0.005,64,"[256, 128]",0.1,20,adam,0.4939120631341601,0.4915819010873378,0.4962300543573558,20,730278
171,0.0005,64,"[1024, 512, 256, 128]",0.1,15,adam,0.5021420518602029,0.4914065240266573,0.4950026301946344,15,3463846
172,0.0001,32,"[1024, 512, 256, 128]",0.1,15,adam,0.4923712889891018,0.4914065240266573,0.4851832368928634,15,3463846
173,0.001,64,"[256, 128]",0.1,30,sgd,0.48571965426531377,0.49123114696597686,0.47957215500613715,30,730278
174,0.0001,64,"[1024, 512, 256, 128]",0.3,30,adam,0.5013904547162721,0.49123114696597686,0.4843065053480624,30,3463846
175,0.0001,32,"[1024, 512, 256, 128]",0.2,20,adam,0.4948891394212702,0.49105576990529637,0.48851481676310715,20,3463846
176,0.005,64,"[256, 128]",0.3,15,sgd,0.4388575723412251,0.490529638723255,0.4744871120462914,15,730278
177,0.001,64,"[256, 128]",0.3,20,adam,0.44682450206689217,0.490529638723255,0.4818516570226197,20,730278
178,0.0001,64,"[256, 128]",0.3,20,adam,0.41300263059000375,0.4896527534198527,0.48676135367350515,20,730278
179,0.005,64,"[512, 256, 128]",0.2,20,sgd,0.46407365652010524,0.48877586811645035,0.4888655093810275,20,1554086
