Rank,learning_rate,batch_size,kernel_size,padding,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
142,0.001,32,3,0,30,sgd,0.9544156332205938,0.9522974394949141,0.9542346133613887,18,1310822
143,0.001,64,5,1,15,sgd,0.9097331830139046,0.9522974394949141,0.9514290724180255,15,1310822
144,0.0001,128,3,0,20,adam,0.8966178128523111,0.9522974394949141,0.9537085744345082,20,1310822
145,0.001,64,5,0,30,sgd,0.9523111612175874,0.9519466853735531,0.9549359985972296,25,1310822
146,0.0005,32,3,1,30,sgd,0.9593385945133408,0.9512451771308312,0.9475714536209012,27,1310822
147,0.0005,32,3,0,20,sgd,0.9357760240511086,0.950368291827429,0.9489742240925828,20,1310822
148,0.0005,64,5,0,30,sgd,0.9211950394588501,0.9501929147667485,0.9503769945642644,30,1310822
149,0.0001,64,3,0,15,adam,0.8739195791055994,0.9501929147667485,0.9521304576538664,15,1310822
150,0.001,32,5,1,20,sgd,0.957685080796693,0.950017537706068,0.9505523408732246,20,1310822
151,0.0005,32,3,1,15,adam,0.7989477639984968,0.9496667835847071,0.9510783798001052,15,1310822
152,0.001,128,3,0,15,adam,0.8666666666666667,0.9494914065240266,0.9537085744345082,15,1310822
153,0.001,32,3,0,15,sgd,0.9419391206313416,0.9491406524026658,0.9531825355076275,15,1310822
154,0.0001,64,5,1,15,adam,0.8798947763998497,0.9489652753419853,0.9461686831492198,15,1310822
155,0.0005,32,5,0,20,sgd,0.9345734686208192,0.9487898982813048,0.9470454146940207,20,1310822
156,0.005,128,5,1,15,sgd,0.939684329199549,0.9484391441599439,0.9424864106610555,15,1310822
157,0.001,128,5,0,30,sgd,0.9293122886133033,0.9480883900385829,0.9498509556373839,30,1310822
158,0.001,64,3,0,15,sgd,0.9063134160090192,0.9475622588565416,0.9521304576538664,15,1310822
159,0.0001,128,5,1,20,adam,0.8874107478391582,0.9475622588565416,0.9486235314746625,20,1310822
160,0.0001,128,5,0,15,adam,0.8384817737692597,0.9473868817958611,0.9442398737506575,15,1310822
161,0.0005,64,3,1,30,sgd,0.9275460353250657,0.9470361276745002,0.9459933368402595,30,1310822
162,0.001,128,3,1,15,adam,0.6970311912814732,0.9468607506138197,0.9454672979133789,15,1310822
163,0.0005,32,5,0,15,adam,0.6464862833521232,0.9465099964924588,0.9417850254252148,15,1310822
164,0.0001,128,3,1,15,adam,0.8509958662157083,0.9461592423710978,0.9437138348237769,15,1310822
165,0.005,64,3,1,15,sgd,0.9426907177752725,0.9456331111890565,0.9440645274416973,13,1310822
166,0.0001,32,5,1,15,adam,0.911499436302142,0.945457734128376,0.9495002630194634,15,1310822
167,0.0005,32,5,1,15,sgd,0.9020293122886133,0.9452823570676956,0.9487988777836227,15,1310822
168,0.0005,64,3,1,15,adam,0.8478015783540023,0.9447562258856541,0.9444152200596178,15,1310822
169,0.0001,128,3,0,30,adam,0.9362269823374672,0.9447562258856541,0.9437138348237769,28,1310822
170,0.0005,32,3,1,15,sgd,0.9111612175873731,0.9440547176429323,0.9458179905312993,15,1310822
171,0.001,128,5,1,30,sgd,0.9253664036076663,0.94317783233953,0.9437138348237769,30,1310822
